家賃,管理費,敷金,礼金,間取り,築年数,駅徒歩,住所,物件名,物件のURL,写真
16万円,管理費 10000円,敷-,礼16万円,1LDK,築8年,"ＪＲ山手線/秋葉原駅 歩7分
ＪＲ中央線/御茶ノ水駅 歩9分
東京メトロ銀座線/末広町駅 歩8分",東京都千代田区外神田２,ジェイファーストチヨダ,https://suumo.jp/chintai/bc_100335216086/,https://img01.suumo.com/front/gazo/fr/bukken/086/100335216086/100335216086_gw.jpg
14.9万円,管理費 12000円,敷14.9万円,礼-,1LDK,新築,"ＪＲ中央線/神田駅 歩4分
東京メトロ東西線/大手町駅 歩5分
東京メトロ丸ノ内線/淡路町駅 歩9分",東京都千代田区内神田２,グランジット大手町,https://suumo.jp/chintai/bc_100334192314/,https://img01.suumo.com/front/gazo/fr/bukken/086/100335216086/100335216086_rw.jpg
14.9万円,管理費 12000円,敷14.9万円,礼-,1LDK,新築,"ＪＲ中央線/神田駅 歩4分
東京メトロ東西線/大手町駅 歩5分
東京メトロ丸ノ内線/淡路町駅 歩9分",東京都千代田区内神田２,ＪＲ中央線 神田駅 13階建 新築,https://suumo.jp/chintai/bc_100335111304/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
14.9万円,管理費 12000円,敷14.9万円,礼-,1LDK,新築,"ＪＲ中央線/神田駅 歩4分
東京メトロ東西線/大手町駅 歩5分
東京メトロ丸ノ内線/淡路町駅 歩9分",東京都千代田区内神田２,ＪＲ中央線 神田駅 13階建 新築,https://suumo.jp/chintai/bc_100335112002/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
14.95万円,管理費 10000円,敷-,礼14.95万円,1LDK,築8年,"都営新宿線/岩本町駅 歩3分
東京メトロ日比谷線/秋葉原駅 歩5分
ＪＲ山手線/神田駅 歩8分",東京都千代田区岩本町２,ハーモニーレジデンス秋葉原,https://suumo.jp/chintai/bc_100328204084/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
15.7万円,管理費 13000円,敷15.7万円,礼-,1LDK,築8年,"東京メトロ日比谷線/小伝馬町駅 歩3分
ＪＲ総武線快速/馬喰町駅 歩5分
都営新宿線/岩本町駅 歩7分",東京都千代田区岩本町１,東京メトロ日比谷線 小伝馬町駅 14階建 築8年,https://suumo.jp/chintai/bc_100335159879/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
16万円,管理費 13000円,敷16万円,礼-,1LDK,築8年,"東京メトロ日比谷線/小伝馬町駅 歩3分
ＪＲ山手線/神田駅 歩10分
都営新宿線/馬喰横山駅 歩8分",東京都千代田区岩本町１,パークアクシス小伝馬町,https://suumo.jp/chintai/bc_100335265386/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
15万円,管理費 20000円,敷15万円,礼15万円,1LDK,築8年,"ＪＲ山手線/秋葉原駅 歩5分
都営新宿線/岩本町駅 歩3分
ＪＲ総武線快速/馬喰町駅 歩7分",東京都千代田区岩本町２,ＪＲ山手線 秋葉原駅 9階建 築8年,https://suumo.jp/chintai/bc_100335161591/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
15万円,管理費 20000円,敷15万円,礼15万円,1LDK,築8年,"ＪＲ山手線/秋葉原駅 歩5分
都営新宿線/岩本町駅 歩3分
ＪＲ総武線快速/馬喰町駅 歩7分",東京都千代田区岩本町２,ＪＲ山手線 秋葉原駅 9階建 築8年,https://suumo.jp/chintai/bc_100335205452/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
15.4万円,管理費 10000円,敷-,礼15.4万円,1LDK,築8年,"ＪＲ山手線/秋葉原駅 歩5分
都営新宿線/岩本町駅 歩3分
ＪＲ総武線快速/馬喰町駅 歩6分",東京都千代田区岩本町２,ＪＲ山手線 秋葉原駅 9階建 築8年,https://suumo.jp/chintai/bc_100335160974/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
16万円,管理費 10000円,敷-,礼16万円,1LDK,築8年,"東京メトロ千代田線/新御茶ノ水駅 歩5分
東京メトロ銀座線/末広町駅 歩5分
ＪＲ中央線/御茶ノ水駅 歩7分",東京都千代田区外神田２,ジェイファーストチヨダ,https://suumo.jp/chintai/bc_100335136111/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
15.6万円,管理費 10000円,敷15.6万円,礼15.6万円,1LDK,築2年,"ＪＲ総武線/浅草橋駅 歩3分
ＪＲ山手線/秋葉原駅 歩8分
都営新宿線/岩本町駅 歩11分",東京都千代田区東神田３,ＪＲ総武線 浅草橋駅 12階建 築2年,https://suumo.jp/chintai/bc_100335159864/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
16.5万円,管理費 15000円,敷16.5万円,礼16.5万円,1LDK,築3年,"ＪＲ総武線/浅草橋駅 歩3分
ＪＲ山手線/秋葉原駅 歩8分
ＪＲ総武線快速/馬喰町駅 歩9分",東京都千代田区東神田３,ＪＲ総武線 浅草橋駅 11階建 築3年,https://suumo.jp/chintai/bc_100335162038/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
16.5万円,管理費 15000円,敷16.5万円,礼-,1LDK,築3年,"ＪＲ総武線/浅草橋駅 歩3分
ＪＲ山手線/秋葉原駅 歩9分
ＪＲ総武線快速/馬喰町駅 歩9分",東京都千代田区東神田３,ＪＲ総武線 浅草橋駅 11階建 築3年,https://suumo.jp/chintai/bc_100335162021/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
15.9万円,管理費 10000円,敷15.9万円,礼-,1LDK,築2年,"ＪＲ総武線快速/馬喰町駅 歩5分
都営新宿線/岩本町駅 歩8分
ＪＲ総武線/浅草橋駅 歩9分",東京都千代田区東神田１,Felice　Prendre,https://suumo.jp/chintai/bc_100335265383/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
15.2万円,管理費 10000円,敷-,礼15.2万円,1LDK,築9年,"東京メトロ日比谷線/小伝馬町駅 歩2分
東京メトロ銀座線/三越前駅 歩6分
ＪＲ山手線/神田駅 歩9分",東京都千代田区岩本町１,東京メトロ日比谷線 小伝馬町駅 12階建 築9年,https://suumo.jp/chintai/bc_100335109136/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
15.45万円,管理費 10000円,敷-,礼15.45万円,1LDK,築9年,"東京メトロ日比谷線/小伝馬町駅 歩2分
ＪＲ山手線/神田駅 歩9分
都営新宿線/岩本町駅 歩6分",東京都千代田区岩本町１,東京メトロ日比谷線 小伝馬町駅 12階建 築9年,https://suumo.jp/chintai/bc_100320775913/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
15.2万円,管理費 10000円,敷-,礼15.2万円,1LDK,築9年,"東京メトロ日比谷線/小伝馬町駅 歩2分
ＪＲ山手線/神田駅 歩9分
都営新宿線/岩本町駅 歩6分",東京都千代田区岩本町１,ハーモニーレジデンス千代田岩本町,https://suumo.jp/chintai/bc_100334610820/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
14.9万円,管理費 15000円,敷14.9万円,礼14.9万円,1LDK,築7年,"東京メトロ丸ノ内線/淡路町駅 歩1分
ＪＲ山手線/神田駅 歩9分
ＪＲ中央線/御茶ノ水駅 歩10分",東京都千代田区神田美土代町,ピアース千代田淡路町,https://suumo.jp/chintai/bc_100334854739/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
13.8万円,管理費 7700円,敷-,礼13.8万円,1LDK,築8年,"都営新宿線/岩本町駅 歩6分
ＪＲ総武線快速/馬喰町駅 歩7分
ＪＲ山手線/秋葉原駅 歩10分",東京都千代田区東神田２,ボストーク・ネオ,https://suumo.jp/chintai/bc_100334645673/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
13.8万円,管理費 7700円,敷-,礼13.8万円,1LDK,築8年,"都営新宿線/岩本町駅 歩6分
ＪＲ総武線快速/馬喰町駅 歩7分
ＪＲ山手線/秋葉原駅 歩10分",東京都千代田区東神田２,ボストーク・ネオ,https://suumo.jp/chintai/bc_100334647525/,https://img01.suumo.com/front/gazo/fr/bukken/314/100334192314/100334192314_gw.jpg
16.5万円,管理費 15000円,敷16.5万円,礼-,1LDK,築5年,"ＪＲ山手線/神田駅 歩6分
東京メトロ丸ノ内線/淡路町駅 歩3分
東京メトロ半蔵門線/大手町駅 歩9分",東京都千代田区神田司町２,ＪＲ山手線 神田駅 地下2地上12階建 築5年,https://suumo.jp/chintai/bc_100334664168/,https://img01.suumo.com/front/gazo/fr/bukken/314/100334192314/100334192314_rw.jpg
16万円,管理費 10000円,敷-,礼16万円,1LDK,築8年,"ＪＲ山手線/秋葉原駅 歩7分
東京メトロ丸ノ内線/御茶ノ水駅 歩9分
東京メトロ銀座線/末広町駅 歩7分",東京都千代田区外神田２,ジェイファーストチヨダ,https://suumo.jp/chintai/bc_100335209695/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
16万円,管理費 10000円,敷-,礼16万円,1LDK,築8年,"ＪＲ山手線/秋葉原駅 歩7分
東京メトロ丸ノ内線/御茶ノ水駅 歩9分
東京メトロ銀座線/末広町駅 歩7分",東京都千代田区外神田２,ＪＲ山手線 秋葉原駅 9階建 築8年,https://suumo.jp/chintai/bc_100334986464/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
16万円,管理費 10000円,敷-,礼16万円,1LDK,築8年,"ＪＲ山手線/秋葉原駅 歩7分
東京メトロ銀座線/末広町駅 歩7分
東京メトロ丸ノ内線/御茶ノ水駅 歩9分",東京都千代田区外神田２,ＪＲ山手線 秋葉原駅 9階建 築8年,https://suumo.jp/chintai/bc_100335186757/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
16万円,管理費 10000円,敷-,礼16万円,1LDK,築8年,"ＪＲ山手線/秋葉原駅 歩7分
東京メトロ丸ノ内線/御茶ノ水駅 歩9分
東京メトロ銀座線/末広町駅 歩7分",東京都千代田区外神田２,ジェイファーストチヨダ,https://suumo.jp/chintai/bc_100335230428/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
16万円,管理費 10000円,敷-,礼16万円,1LDK,築8年,"ＪＲ山手線/秋葉原駅 歩7分
東京メトロ丸ノ内線/御茶ノ水駅 歩9分
東京メトロ銀座線/末広町駅 歩7分",東京都千代田区外神田２,ＪＲ山手線 秋葉原駅 9階建 築8年,https://suumo.jp/chintai/bc_100335230109/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
16万円,管理費 10000円,敷-,礼16万円,1LDK,築8年,"ＪＲ山手線/秋葉原駅 歩7分
東京メトロ銀座線/末広町駅 歩7分
東京メトロ丸ノ内線/御茶ノ水駅 歩9分",東京都千代田区外神田２,ジェイファーストチヨダ,https://suumo.jp/chintai/bc_100335141634/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
16万円,管理費 10000円,敷-,礼16万円,1LDK,築8年,"ＪＲ総武線/秋葉原駅 歩7分
東京メトロ銀座線/末広町駅 歩6分
東京メトロ丸ノ内線/御茶ノ水駅 歩9分",東京都千代田区外神田２,ジェイファーストチヨダ,https://suumo.jp/chintai/bc_100335155957/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
16万円,管理費 10000円,敷-,礼16万円,1LDK,築8年,"東京メトロ丸ノ内線/御茶ノ水駅 歩7分
ＪＲ山手線/秋葉原駅 歩7分
東京メトロ銀座線/末広町駅 歩7分",東京都千代田区外神田２,東京メトロ丸ノ内線 御茶ノ水駅 9階建 築8年,https://suumo.jp/chintai/bc_100335013496/,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw%3D%3D"
